fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
20/06/2017,24,986,21,1,605,64,150,56,25
21/06/2017,26,935,26,1,963,100,437,43,28
22/06/2017,30,1022,33,0,151,66,25,65,27
23/06/2017,25,1060,35,1,584,34,12,56,31
24/06/2017,28,996,46,1,879,40,282,70,22
25/06/2017,23,942,29,1,285,84,165,46,23
26/06/2017,25,973,89,0,782,94,363,53,22
27/06/2017,23,1057,30,0,959,4,51,51,34
28/06/2017,29,1078,89,0,360,65,408,53,32
29/06/2017,25,969,88,1,345,96,15,59,17
30/06/2017,18,972,98,0,757,75,192,55,32
01/07/2017,20,990,57,1,760,74,37,54,21
02/07/2017,23,1002,35,0,807,39,206,37,28
03/07/2017,26,931,66,1,462,79,208,48,17
04/07/2017,34,946,98,1,985,37,203,53,26
05/07/2017,28,975,46,0,821,10,193,54,32
06/07/2017,22,986,67,1,586,86,336,48,17
07/07/2017,30,1026,23,0,363,18,26,51,18
08/07/2017,31,946,77,1,683,93,37,53,12
09/07/2017,25,1004,50,0,439,95,134,37,18
10/07/2017,30,1026,40,1,816,85,161,49,23
11/07/2017,19,985,81,0,730,9,256,34,34
12/07/2017,34,988,74,1,590,48,6,62,10
13/07/2017,21,1022,99,1,955,9,314,61,24
14/07/2017,26,1129,21,1,779,28,269,14,22
15/07/2017,18,1073,94,1,903,58,184,39,21
16/07/2017,27,1035,59,1,470,12,418,38,25
17/07/2017,28,1039,79,0,346,27,206,63,30
18/07/2017,13,971,68,1,177,51,40,47,17
19/07/2017,25,1055,69,0,758,49,19,37,33
20/07/2017,22,1028,91,1,663,10,55,49,19
21/07/2017,27,1042,59,0,788,85,329,62,32
22/07/2017,17,1075,32,0,377,83,368,43,29
23/07/2017,35,1001,76,1,676,72,246,64,25
24/07/2017,24,1009,47,0,989,47,301,56,33
25/07/2017,23,948,81,1,835,65,4,60,20
26/07/2017,20,997,49,1,708,36,437,48,28
27/07/2017,30,970,60,1,791,39,92,58,16
28/07/2017,33,948,59,1,475,80,110,63,17
29/07/2017,19,1034,90,0,415,57,486,66,36
30/07/2017,22,1028,52,1,395,31,235,39,17
31/07/2017,30,950,21,1,246,84,367,34,25
01/08/2017,27,999,29,1,371,26,1,52,17
02/08/2017,21,1010,55,0,423,34,484,47,25
03/08/2017,26,979,54,0,118,32,296,50,24
04/08/2017,30,1016,64,1,379,11,466,37,22
05/08/2017,21,1007,96,0,265,30,44,64,20
06/08/2017,28,999,50,1,482,25,5,55,19
07/08/2017,30,1019,38,0,358,53,105,47,32
08/08/2017,25,935,82,1,148,8,98,56,14
09/08/2017,22,987,23,0,824,54,380,40,26
10/08/2017,28,1076,98,1,648,42,312,44,20
11/08/2017,23,973,28,1,288,72,392,47,27
12/08/2017,37,1130,82,1,222,18,379,54,29
13/08/2017,20,1028,91,1,257,63,327,42,25
14/08/2017,27,944,62,1,587,28,377,55,26
15/08/2017,32,912,23,1,523,98,424,36,22
16/08/2017,23,1001,35,0,931,15,425,31,33
17/08/2017,19,983,66,0,620,76,430,44,26
18/08/2017,19,991,58,0,981,40,384,63,26
19/08/2017,21,955,59,0,162,85,484,45,24
20/08/2017,22,994,82,0,257,88,29,73,23
21/08/2017,25,913,89,1,194,51,432,53,22
22/08/2017,26,983,69,0,683,4,67,57,25
23/08/2017,28,1052,63,0,620,86,475,56,33
24/08/2017,27,1136,67,1,706,20,127,57,15
25/08/2017,17,1049,86,1,265,13,439,46,27
26/08/2017,31,1035,100,0,281,100,212,76,27
27/08/2017,21,988,48,0,200,100,335,31,19
28/08/2017,17,1059,58,0,566,48,294,53,21
29/08/2017,27,975,60,0,875,85,416,35,30
30/08/2017,24,1018,90,1,864,45,436,32,30
31/08/2017,22,990,45,0,530,24,227,61,18
01/09/2017,22,921,67,0,259,13,464,45,22
02/09/2017,30,1005,40,1,544,96,330,48,19
03/09/2017,25,927,66,1,291,22,475,51,14
04/09/2017,24,977,47,1,401,17,212,49,22
05/09/2017,26,1025,82,1,729,35,354,66,27
06/09/2017,18,1054,82,1,812,93,202,45,22
07/09/2017,25,1045,49,1,571,44,201,57,19
08/09/2017,24,980,61,0,498,95,103,49,21
09/09/2017,29,988,24,0,900,29,192,55,24
10/09/2017,26,1005,44,1,322,67,398,54,18
11/09/2017,34,1026,23,1,135,14,139,60,15
12/09/2017,28,982,26,1,841,48,299,58,24
13/09/2017,26,995,71,1,369,22,271,49,17
14/09/2017,22,1111,90,0,877,31,176,60,31
15/09/2017,19,951,31,0,680,31,171,35,20
16/09/2017,20,1059,81,0,669,19,95,43,27
17/09/2017,34,917,76,0,696,8,264,57,25
18/09/2017,28,964,28,1,320,68,64,59,21
19/09/2017,23,1056,90,1,757,67,162,42,32
20/09/2017,31,1057,65,0,126,7,229,54,16
21/09/2017,15,955,70,0,334,44,185,49,19
22/09/2017,21,906,49,1,999,58,340,53,12
23/09/2017,24,1073,21,0,113,14,387,62,23
24/09/2017,12,980,40,0,254,48,385,56,25
25/09/2017,33,1038,76,1,826,26,374,57,27
26/09/2017,32,1047,85,0,824,88,324,35,27
27/09/2017,22,937,27,0,863,19,493,38,27
28/09/2017,25,1055,23,0,514,91,56,66,29
29/09/2017,24,973,65,0,210,95,491,56,31
30/09/2017,32,937,85,1,810,85,104,55,24
01/10/2017,38,1039,56,1,597,25,200,40,14
02/10/2017,31,938,69,0,735,1,12,52,23
03/10/2017,46,933,99,0,664,13,91,34,17
04/10/2017,28,985,80,1,492,94,488,35,21
05/10/2017,31,1108,87,0,390,61,41,44,26
06/10/2017,37,982,28,1,439,30,192,44,11
07/10/2017,32,1008,43,0,768,62,53,65,19
08/10/2017,38,948,51,0,470,34,205,61,23
09/10/2017,29,1146,46,0,957,53,213,40,15
10/10/2017,40,1067,81,1,794,20,258,42,18
11/10/2017,40,1009,79,1,970,17,87,58,20
12/10/2017,40,1009,85,0,881,59,36,47,24
13/10/2017,33,1077,41,0,533,48,279,59,20
14/10/2017,36,934,49,1,858,14,279,57,15
15/10/2017,26,943,83,0,892,18,491,43,28
16/10/2017,43,1015,88,1,497,33,103,57,16
17/10/2017,31,993,26,1,619,95,497,45,11
18/10/2017,37,1025,68,1,704,9,257,45,17
19/10/2017,22,985,20,0,220,60,127,40,16
20/10/2017,22,1056,65,0,434,76,90,63,16
21/10/2017,26,964,54,0,781,49,409,53,25
22/10/2017,41,956,83,0,702,32,272,48,22
23/10/2017,28,951,37,1,905,98,475,56,27
24/10/2017,25,995,51,1,927,73,11,51,15
25/10/2017,37,1051,43,0,571,38,302,57,21
26/10/2017,20,958,78,1,207,41,276,45,20
27/10/2017,43,1062,77,0,915,34,386,45,30
28/10/2017,40,984,28,1,585,20,476,48,22
29/10/2017,34,1054,70,0,952,81,172,47,28
30/10/2017,34,976,54,0,174,100,144,42,14
31/10/2017,39,1077,68,1,150,42,193,40,8
01/11/2017,34,1046,68,0,394,59,318,43,16
02/11/2017,37,1008,84,1,507,19,10,46,24
03/11/2017,33,966,55,1,805,68,161,37,15
04/11/2017,35,1048,84,1,528,30,83,45,18
05/11/2017,35,1025,92,0,378,8,336,59,22
06/11/2017,33,933,40,1,952,12,262,55,12
07/11/2017,27,974,57,1,779,91,230,41,17
08/11/2017,40,959,72,1,747,56,210,35,12
09/11/2017,36,990,70,0,315,98,464,24,24
10/11/2017,32,906,62,1,371,43,475,30,12
11/11/2017,27,973,27,0,980,65,316,36,17
12/11/2017,28,968,98,1,505,87,363,73,25
13/11/2017,35,1008,64,0,949,7,31,51,20
14/11/2017,28,1075,94,1,791,97,298,58,29
15/11/2017,31,988,95,0,290,89,109,38,27
16/11/2017,31,937,41,1,544,20,87,33,11
17/11/2017,36,994,42,0,500,79,289,57,22
18/11/2017,33,960,57,1,829,19,127,45,6
19/11/2017,34,923,29,1,262,52,317,32,9
20/11/2017,39,990,69,0,664,51,304,52,19
21/11/2017,31,883,51,0,920,42,374,68,18
22/11/2017,40,948,73,0,255,59,12,28,22
23/11/2017,39,1041,74,1,276,37,461,41,27
24/11/2017,28,1014,33,1,160,37,244,57,14
25/11/2017,31,986,23,0,149,72,338,39,18
26/11/2017,47,985,40,1,736,13,338,64,18
27/11/2017,27,1005,45,1,692,35,398,57,15
28/11/2017,24,989,62,0,974,45,14,54,23
29/11/2017,34,1010,81,0,437,46,395,45,27
30/11/2017,46,921,41,0,113,17,427,33,20
01/12/2017,30,962,70,0,422,33,322,40,9
02/12/2017,33,943,99,0,257,67,372,42,24
03/12/2017,29,1083,38,0,804,32,257,59,15
04/12/2017,35,1064,99,1,247,80,177,48,19
05/12/2017,41,1033,56,0,927,5,145,43,20
06/12/2017,19,975,30,1,503,76,404,49,11
07/12/2017,33,996,52,1,415,19,227,45,9
08/12/2017,29,970,74,0,289,70,124,52,17
09/12/2017,41,994,66,0,434,31,97,49,14
10/12/2017,30,947,41,0,246,4,78,45,18
11/12/2017,36,1003,90,0,703,19,320,65,16
12/12/2017,32,941,37,1,422,48,277,55,8
13/12/2017,25,942,31,1,871,41,414,51,22
14/12/2017,23,909,22,0,943,59,335,65,23
15/12/2017,26,917,52,0,608,67,234,42,20
16/12/2017,27,992,28,1,868,34,25,69,14
17/12/2017,32,1032,81,1,620,39,349,60,17
18/12/2017,41,983,28,0,974,85,99,67,18
19/12/2017,28,970,64,0,166,65,418,56,18
20/12/2017,37,1001,54,1,903,27,121,58,22
21/12/2017,26,1025,95,1,715,49,119,47,17
22/12/2017,27,1029,34,1,800,82,300,39,24
23/12/2017,28,1028,82,1,140,74,69,32,13
24/12/2017,33,976,71,1,483,33,223,47,19
25/12/2017,33,1001,68,1,343,45,324,48,13
26/12/2017,27,1039,71,0,833,99,467,52,22
27/12/2017,37,1027,90,1,356,87,398,59,19
28/12/2017,28,948,29,0,598,41,488,39,15
29/12/2017,32,971,28,0,910,14,297,53,13
30/12/2017,29,1037,79,0,708,72,279,50,31
31/12/2017,28,963,77,0,259,88,37,62,18
01/01/2018,28,975,31,1,180,41,54,49,5
02/01/2018,31,1017,96,1,300,7,498,35,16
03/01/2018,31,1038,45,0,377,12,84,44,19
04/01/2018,30,961,72,0,137,15,200,48,15
05/01/2018,32,1076,52,1,670,24,391,41,28
06/01/2018,36,924,57,1,803,31,431,38,17
07/01/2018,36,956,68,0,270,91,77,62,20
08/01/2018,24,1089,88,1,741,52,130,56,15
09/01/2018,36,989,36,0,567,64,425,53,14
10/01/2018,29,1038,33,1,358,97,434,47,19
11/01/2018,33,1018,65,0,867,47,329,48,22
12/01/2018,38,1009,40,1,310,69,212,47,7
13/01/2018,35,1095,53,0,162,79,212,55,24
14/01/2018,29,1089,82,1,451,88,491,52,24
15/01/2018,29,974,22,0,119,69,277,58,21
16/01/2018,34,1013,90,1,348,43,461,41,18
17/01/2018,29,957,28,0,856,59,416,50,16
18/01/2018,34,1092,80,0,485,6,243,51,16
19/01/2018,39,987,28,1,942,72,147,29,10
20/01/2018,28,951,93,0,990,72,154,53,25
21/01/2018,32,1022,99,1,548,13,58,49,9
22/01/2018,35,1073,34,0,839,43,138,42,22
23/01/2018,42,985,80,0,987,33,238,49,19
24/01/2018,23,912,62,0,320,12,320,46,12
25/01/2018,28,1046,54,0,518,66,45,47,20
26/01/2018,28,983,24,1,454,53,26,54,6
27/01/2018,28,945,73,1,399,5,192,48,9
28/01/2018,41,970,48,1,578,88,250,43,7
29/01/2018,29,974,62,1,344,15,92,45,9
30/01/2018,29,908,92,1,184,37,74,48,18
31/01/2018,30,993,41,1,948,22,166,55,19
01/02/2018,39,983,53,1,474,54,126,52,12
02/02/2018,30,992,76,0,590,9,445,46,25
03/02/2018,33,1095,63,1,460,36,334,56,6
04/02/2018,36,1078,79,0,628,45,216,52,14
05/02/2018,33,1027,78,1,359,47,348,57,15
06/02/2018,34,1056,69,1,363,71,342,53,16
07/02/2018,35,947,38,1,381,55,289,22,14
08/02/2018,28,962,70,1,453,9,498,72,14
09/02/2018,29,1021,95,1,496,19,184,49,14
10/02/2018,32,1037,71,0,704,94,31,58,28
11/02/2018,46,995,46,0,583,100,249,45,17
12/02/2018,32,936,94,1,882,16,329,42,15
13/02/2018,33,947,86,0,357,6,353,49,21
14/02/2018,37,1053,81,1,786,42,272,47,22
15/02/2018,36,1016,27,0,489,45,390,49,21
16/02/2018,30,981,59,1,471,54,359,47,15
17/02/2018,32,977,58,0,722,49,126,54,15
18/02/2018,27,967,22,1,931,26,464,74,23
19/02/2018,33,1054,75,0,904,18,236,72,14
20/02/2018,28,1045,93,1,417,100,254,56,13
21/02/2018,31,902,76,0,933,94,31,35,19
22/02/2018,30,998,48,1,267,82,360,55,17
23/02/2018,33,1021,59,1,415,3,155,43,13
24/02/2018,32,961,93,1,501,7,164,34,13
25/02/2018,29,932,62,1,854,24,117,39,8
26/02/2018,27,1011,91,0,339,54,291,42,16
27/02/2018,36,1038,98,0,374,70,108,57,16
28/02/2018,33,980,38,0,589,26,275,57,13
01/03/2018,27,1017,98,1,650,38,131,51,15
02/03/2018,30,1023,94,1,674,53,172,54,19
03/03/2018,22,977,78,1,339,18,442,60,18
04/03/2018,31,1006,99,0,131,90,245,68,24
05/03/2018,34,947,93,1,956,69,209,56,18
06/03/2018,31,1033,49,0,849,65,162,62,22
07/03/2018,19,1042,51,1,698,62,239,46,9
08/03/2018,14,958,78,0,575,50,251,51,13
09/03/2018,40,1041,91,1,343,56,371,68,10
10/03/2018,34,936,95,1,178,24,266,63,14
11/03/2018,36,1048,46,0,606,64,39,56,15
12/03/2018,24,993,29,1,556,63,92,46,11
13/03/2018,31,999,46,1,664,50,298,50,8
14/03/2018,45,965,45,0,233,98,61,55,14
15/03/2018,33,1011,53,1,319,75,233,27,8
16/03/2018,31,977,77,0,625,3,204,55,19
17/03/2018,31,971,57,1,856,36,412,57,15
18/03/2018,23,1047,56,0,183,98,441,42,20
19/03/2018,37,1086,29,0,433,37,349,43,21
20/03/2018,42,1063,71,1,198,91,441,47,30
21/03/2018,27,987,80,0,782,90,349,62,28
22/03/2018,33,1082,86,1,906,0,490,55,25
23/03/2018,34,967,60,1,912,24,65,68,14
24/03/2018,28,824,88,1,824,88,6,57,18
25/03/2018,38,938,21,1,768,92,316,62,19
26/03/2018,29,1070,62,0,422,97,406,48,24
27/03/2018,30,1001,25,0,748,12,259,56,25
28/03/2018,33,909,57,1,426,82,236,57,11
29/03/2018,44,1036,96,0,263,60,14,41,26
30/03/2018,33,1104,35,1,283,72,268,55,10
31/03/2018,24,1074,34,1,498,9,233,48,13
01/04/2018,29,935,37,0,757,75,393,44,29
02/04/2018,20,990,24,0,605,100,27,40,20
03/04/2018,30,1057,100,0,399,68,361,52,30
04/04/2018,23,958,89,0,807,43,242,47,22
05/04/2018,31,1023,44,0,989,19,402,65,32
06/04/2018,24,1036,29,0,384,77,297,59,31
07/04/2018,21,932,92,1,913,79,398,54,29
08/04/2018,26,1072,36,1,236,22,267,55,23
09/04/2018,24,963,40,1,262,95,481,63,24
10/04/2018,19,1045,94,1,480,12,485,56,30
11/04/2018,24,979,55,1,371,21,14,43,20
12/04/2018,19,1062,54,1,781,50,30,53,31
13/04/2018,17,1043,64,0,708,37,454,50,29
14/04/2018,26,1080,100,0,619,22,112,60,21
15/04/2018,25,1011,79,1,291,49,326,42,18
16/04/2018,33,1063,94,1,986,60,368,48,34
17/04/2018,20,924,53,0,271,24,421,37,24
18/04/2018,25,977,24,0,108,90,183,55,31
19/04/2018,20,901,89,0,480,50,101,50,25
20/04/2018,29,980,73,1,264,81,176,57,25
21/04/2018,29,1136,60,0,464,75,57,47,28
22/04/2018,27,979,30,1,999,97,321,60,23
23/04/2018,35,1038,72,1,705,73,50,39,28
24/04/2018,32,1029,51,0,149,61,420,50,35
25/04/2018,22,1086,90,0,188,67,417,45,32
26/04/2018,28,963,93,1,402,8,399,52,31
27/04/2018,23,963,87,0,563,51,213,69,22
28/04/2018,25,1027,21,1,130,43,284,47,23
29/04/2018,20,1006,92,1,150,48,374,49,28
30/04/2018,25,984,59,1,928,49,400,51,19
01/05/2018,33,971,42,0,880,15,80,62,26
02/05/2018,21,998,95,1,812,95,166,44,26
03/05/2018,17,970,63,0,113,78,103,51,22
04/05/2018,23,937,28,0,384,36,120,46,21
05/05/2018,25,1023,52,1,249,9,368,35,23
06/05/2018,25,1002,50,0,403,18,10,47,28
07/05/2018,22,1058,41,1,318,70,445,65,26
08/05/2018,22,1108,38,0,541,96,3,38,24
09/05/2018,34,972,30,1,681,49,188,50,20
10/05/2018,28,1092,35,1,963,48,370,60,27
11/05/2018,25,1033,92,0,971,94,247,52,33
12/05/2018,23,1040,84,1,346,30,109,49,27
13/05/2018,16,1060,33,1,646,35,259,57,19
14/05/2018,35,989,26,0,781,86,71,61,26
15/05/2018,22,938,34,0,230,51,12,60,33
16/05/2018,23,933,61,0,505,15,467,69,25
17/05/2018,34,1020,37,1,222,89,109,61,27
18/05/2018,29,968,78,1,929,66,277,51,21
19/05/2018,28,890,25,1,592,77,410,59,28
20/05/2018,17,1011,28,1,457,5,299,52,20
21/05/2018,27,992,66,1,538,34,364,44,24
22/05/2018,21,1006,96,1,499,28,367,63,27
23/05/2018,36,1050,39,0,543,70,368,48,35
24/05/2018,26,995,74,1,854,57,483,32,29
25/05/2018,29,982,55,1,174,98,488,46,24
26/05/2018,25,977,36,0,276,92,405,53,34
27/05/2018,32,1020,98,1,727,97,486,45,31
28/05/2018,26,967,97,0,990,43,236,56,30
29/05/2018,19,1028,60,0,570,94,67,58,29
30/05/2018,14,1048,76,0,908,46,146,55,38
31/05/2018,26,1001,99,1,212,96,56,47,35
01/06/2018,21,875,28,1,773,39,4,56,18
02/06/2018,35,1032,93,0,479,86,424,53,30
03/06/2018,30,992,37,1,803,40,358,61,23
04/06/2018,26,1024,31,0,630,62,112,50,27
05/06/2018,31,1034,48,0,350,36,378,28,28
06/06/2018,22,1117,21,1,467,11,18,54,26
07/06/2018,11,999,79,1,506,50,358,65,29
08/06/2018,22,1000,33,0,749,30,289,54,30
09/06/2018,27,924,43,1,194,45,14,58,20
10/06/2018,16,966,68,1,461,85,166,51,21
11/06/2018,24,1044,34,0,360,72,148,52,32
12/06/2018,28,1075,26,0,346,24,128,63,27
13/06/2018,19,1002,65,1,143,4,243,75,16
14/06/2018,26,1071,88,0,197,86,305,58,36
15/06/2018,28,1044,88,0,824,40,38,42,36
16/06/2018,24,910,52,1,736,10,368,72,25
17/06/2018,36,1030,52,0,276,86,401,56,38
18/06/2018,20,1000,77,1,673,25,11,47,31
19/06/2018,26,975,80,0,908,51,344,48,27
20/06/2018,24,1023,29,1,418,53,325,64,21
21/06/2018,27,981,52,0,679,30,205,43,27
22/06/2018,23,935,64,1,245,15,56,53,24
23/06/2018,29,914,31,0,995,82,410,57,40
24/06/2018,29,1004,76,0,295,53,23,67,30
25/06/2018,18,986,81,1,197,70,466,59,26
26/06/2018,21,996,64,1,315,85,7,45,9
27/06/2018,20,1126,31,1,843,2,461,46,20
28/06/2018,26,908,38,1,465,57,205,55,19
29/06/2018,27,1006,58,0,426,72,322,39,25
30/06/2018,30,1043,99,1,135,54,153,60,27
01/07/2018,30,970,77,0,467,97,494,57,29
02/07/2018,28,976,22,1,635,57,57,51,21
03/07/2018,26,1011,72,1,469,11,283,32,17
04/07/2018,27,916,88,0,679,9,299,52,16
05/07/2018,31,1037,32,1,110,4,75,49,16
06/07/2018,18,1035,61,1,232,85,305,70,12
07/07/2018,22,1023,93,1,140,58,76,67,29
08/07/2018,18,991,80,1,221,58,225,54,12
09/07/2018,40,1017,26,1,498,6,7,56,14
10/07/2018,27,1012,95,1,635,37,79,66,19
11/07/2018,22,1035,48,0,904,90,331,55,28
12/07/2018,16,997,36,1,977,18,58,44,18
13/07/2018,19,1010,45,0,549,21,42,49,17
14/07/2018,23,999,88,1,177,15,499,50,22
15/07/2018,32,983,66,0,595,9,354,54,23
16/07/2018,33,932,50,0,777,60,378,66,26
17/07/2018,31,968,20,1,803,98,405,52,20
18/07/2018,24,1065,82,1,733,66,264,64,27
19/07/2018,20,979,22,0,584,89,262,60,31
20/07/2018,34,1055,70,0,865,42,195,56,28
21/07/2018,28,993,20,0,448,39,263,66,23
22/07/2018,25,1039,55,1,110,63,170,51,20
23/07/2018,23,947,73,0,761,78,68,36,25
24/07/2018,30,978,20,0,678,87,106,64,30
25/07/2018,21,1043,67,1,935,66,329,49,19
26/07/2018,21,971,59,1,143,59,450,55,22
27/07/2018,23,986,95,1,316,33,274,38,23
28/07/2018,33,993,87,0,607,36,166,49,17
29/07/2018,25,1019,56,0,211,94,259,47,25
30/07/2018,29,941,32,1,420,59,65,35,11
31/07/2018,33,895,55,1,567,98,215,37,10
01/08/2018,22,1024,48,1,123,43,58,53,25
02/08/2018,20,1092,43,1,300,74,356,53,20
03/08/2018,17,984,57,1,839,21,381,25,22
04/08/2018,18,1004,24,1,296,71,437,47,21
05/08/2018,30,1000,86,1,418,23,280,53,20
06/08/2018,27,933,24,1,107,63,193,54,23
07/08/2018,33,897,81,0,301,22,235,60,21
08/08/2018,22,957,41,0,547,42,27,55,21
09/08/2018,17,1017,85,1,694,64,106,46,25
10/08/2018,20,1059,70,0,413,33,67,45,23
11/08/2018,29,955,85,1,510,66,11,46,21
12/08/2018,22,963,58,1,146,24,35,58,11
13/08/2018,21,1032,92,1,389,6,456,60,31
14/08/2018,20,1084,64,0,561,6,150,46,28
15/08/2018,27,904,50,1,859,43,98,50,19
16/08/2018,29,923,66,0,184,88,327,51,24
17/08/2018,25,1033,51,1,151,82,143,61,21
18/08/2018,18,1040,32,0,113,5,364,51,23
19/08/2018,19,974,70,0,895,75,365,42,26
20/08/2018,31,936,47,0,875,6,395,45,28
21/08/2018,27,998,28,1,910,68,364,52,17
22/08/2018,23,1004,39,1,890,85,270,30,25
23/08/2018,19,1075,95,0,343,17,62,56,28
24/08/2018,26,1131,43,1,955,45,435,61,30
25/08/2018,33,1020,87,1,294,94,17,37,24
26/08/2018,21,1002,45,1,951,67,486,70,27
27/08/2018,23,917,76,0,351,95,28,39,27
28/08/2018,25,977,32,1,765,74,425,60,27
29/08/2018,19,987,63,0,777,22,49,49,24
30/08/2018,31,979,80,0,670,84,84,42,33
31/08/2018,31,1038,36,1,833,6,230,44,28
01/09/2018,13,913,23,0,265,56,323,47,24
02/09/2018,27,1047,42,0,985,40,186,37,22
03/09/2018,13,1013,72,1,149,14,101,49,14
04/09/2018,26,977,21,0,401,37,484,74,24
05/09/2018,31,984,79,1,117,67,106,42,13
06/09/2018,27,1005,63,0,606,43,187,38,19
07/09/2018,24,1026,87,1,938,50,404,59,21
08/09/2018,32,1019,41,0,399,98,381,67,38
09/09/2018,24,1008,30,1,288,15,245,38,20
10/09/2018,18,950,86,0,390,24,258,43,23
11/09/2018,25,985,78,0,349,44,220,44,19
12/09/2018,21,997,54,0,252,28,7,61,12
13/09/2018,23,979,99,0,906,49,54,50,24
14/09/2018,43,962,89,1,670,20,378,57,18
15/09/2018,25,979,35,0,645,75,365,44,24
16/09/2018,16,982,50,1,216,29,466,55,19
17/09/2018,26,1052,61,1,187,21,223,42,15
18/09/2018,19,979,29,1,272,17,469,44,22
19/09/2018,35,923,94,1,753,21,183,61,20
20/09/2018,16,961,96,1,180,12,388,49,17
21/09/2018,27,984,54,1,850,62,363,43,12
22/09/2018,28,1134,53,0,962,83,79,33,30
23/09/2018,28,1020,69,1,248,19,341,52,17
24/09/2018,25,1017,29,0,500,81,92,59,33
25/09/2018,17,828,52,1,781,33,332,40,18
26/09/2018,26,935,38,1,302,10,298,44,12
27/09/2018,26,1108,38,1,777,72,309,36,20
28/09/2018,34,1031,88,0,229,42,187,37,26
29/09/2018,32,1050,25,0,697,75,170,53,25
30/09/2018,27,988,44,1,254,56,32,54,17
01/10/2018,35,979,59,1,427,49,220,57,10
02/10/2018,25,1063,72,0,704,89,310,37,22
03/10/2018,33,993,21,0,707,8,297,54,15
04/10/2018,37,995,45,1,546,65,239,62,16
05/10/2018,39,989,82,1,305,5,345,53,10
06/10/2018,40,1051,78,1,257,52,2,40,23
07/10/2018,33,902,67,0,115,22,78,57,16
08/10/2018,33,1135,85,1,853,55,69,63,15
09/10/2018,33,974,66,0,592,50,221,50,12
10/10/2018,20,1110,73,0,161,44,379,59,22
11/10/2018,32,1064,82,1,341,26,259,47,19
12/10/2018,36,970,80,0,460,1,408,40,31
13/10/2018,33,964,45,0,896,24,260,59,12
14/10/2018,29,1023,91,1,427,30,49,46,7
15/10/2018,33,978,61,0,558,32,309,36,12
16/10/2018,28,1081,56,1,431,25,161,39,13
17/10/2018,30,1080,31,1,237,41,480,43,17
18/10/2018,33,942,74,1,271,52,173,46,7
19/10/2018,27,912,85,0,161,50,413,39,13
20/10/2018,35,997,73,0,302,19,18,55,21
21/10/2018,43,945,100,1,268,64,322,49,18
22/10/2018,34,1037,68,0,306,72,347,54,24
23/10/2018,35,932,80,1,909,50,310,62,17
24/10/2018,23,1058,60,1,618,62,372,60,15
25/10/2018,26,1011,63,1,567,52,377,47,12
26/10/2018,36,861,81,1,734,50,366,39,17
27/10/2018,30,944,67,1,880,76,114,54,14
28/10/2018,30,983,67,0,791,45,154,60,19
29/10/2018,29,1076,91,0,211,13,316,31,25
30/10/2018,36,1096,79,1,440,75,400,56,27
31/10/2018,33,1075,77,0,574,11,357,40,26
01/11/2018,32,1027,47,0,784,3,491,51,30
02/11/2018,41,993,90,1,799,27,85,45,20
03/11/2018,38,1037,30,0,374,74,370,31,25
04/11/2018,33,1004,76,1,943,1,208,54,14
05/11/2018,36,1038,36,0,245,24,423,30,26
06/11/2018,25,935,24,1,487,58,468,37,16
